Particle ID, Iteration, h, nc
96853, 0, -inf, 1
96853, 1, -inf, 1
96853, 2, -inf, 1
96853, 3, -inf, 1
96853, 4, -inf, 1
96853, 5, -inf, 1
96853, 6, -inf, 1
96853, 7, -inf, 1
96853, 8, -inf, 1
96853, 9, -inf, 1
96853, 10, -inf, 1
96853, 11, -inf, 1
96853, 12, -inf, 1
96853, 13, -inf, 1
96853, 14, -inf, 1
96853, 15, -inf, 1
96853, 16, -inf, 1
96853, 17, -inf, 1
96853, 18, -inf, 1
96853, 19, -inf, 1
96853, 20, -inf, 1
96853, 21, -inf, 1
96853, 22, -inf, 1
96853, 23, -inf, 1
96853, 24, -inf, 1
96853, 25, -inf, 1
96853, 26, -inf, 1
96853, 27, -inf, 1
96853, 28, -inf, 1
96853, 29, -inf, 1
96853, 30, -inf, 1
96853, 31, -inf, 1
96853, 32, -inf, 1
96853, 33, -inf, 1
96853, 34, -inf, 1
96853, 35, -inf, 1
96853, 36, -inf, 1
96853, 37, -inf, 1
96853, 38, -inf, 1
96853, 39, -inf, 1
96853, 40, -inf, 1
96853, 41, -inf, 1
96853, 42, -inf, 1
96853, 43, -inf, 1
96853, 44, -inf, 1
96853, 45, -inf, 1
96853, 46, -inf, 1
96853, 47, -inf, 1
96853, 48, -inf, 1
96853, 49, -inf, 1
96853, 50, -inf, 1
96853, 51, -inf, 1
96853, 52, -inf, 1
96853, 53, -inf, 1
96853, 54, -inf, 1
96853, 55, -inf, 1
96853, 56, -inf, 1
96853, 57, -inf, 1
96853, 58, -inf, 1
96853, 59, -inf, 1
96853, 60, -inf, 1
96853, 61, -inf, 1
96853, 62, -inf, 1
96853, 63, -inf, 1
96853, 64, -inf, 1
96853, 65, -inf, 1
96853, 66, -inf, 1
96853, 67, -inf, 1
96853, 68, -inf, 1
96853, 69, -inf, 1
96853, 70, -inf, 1
96853, 71, -inf, 1
96853, 72, -inf, 1
96853, 73, -inf, 1
96853, 74, -inf, 1
96853, 75, -inf, 1
96853, 76, -inf, 1
96853, 77, -inf, 1
96853, 78, -inf, 1
96853, 79, -inf, 1
96853, 80, -inf, 1
96853, 81, -inf, 1
96853, 82, -inf, 1
96853, 83, -inf, 1
96853, 84, -inf, 1
96853, 85, -inf, 1
96853, 86, -inf, 1
96853, 87, -inf, 1
96853, 88, -inf, 1
96853, 89, -inf, 1
96853, 90, -inf, 1
96853, 91, -inf, 1
96853, 92, -inf, 1
96853, 93, -inf, 1
96853, 94, -inf, 1
96853, 95, -inf, 1
96853, 96, -inf, 1
96853, 97, -inf, 1
96853, 98, -inf, 1
96853, 99, -inf, 1
96853, 100, -inf, 1
96853, 101, -inf, 1
96853, 102, -inf, 1
96853, 103, -inf, 1
96853, 104, -inf, 1
96853, 105, -inf, 1
96853, 106, -inf, 1
96853, 107, -inf, 1
96853, 108, -inf, 1
96853, 109, -inf, 1
96853, 110, -inf, 1
96853, FINAL, -inf, 1
96854, 0, -inf, 1
96854, 1, -inf, 1
96854, 2, -inf, 1
96854, 3, -inf, 1
96854, 4, -inf, 1
96854, 5, -inf, 1
96854, 6, -inf, 1
96854, 7, -inf, 1
96854, 8, -inf, 1
96854, 9, -inf, 1
96854, 10, -inf, 1
96854, 11, -inf, 1
96854, 12, -inf, 1
96854, 13, -inf, 1
96854, 14, -inf, 1
96854, 15, -inf, 1
96854, 16, -inf, 1
96854, 17, -inf, 1
96854, 18, -inf, 1
96854, 19, -inf, 1
96854, 20, -inf, 1
96854, 21, -inf, 1
96854, 22, -inf, 1
96854, 23, -inf, 1
96854, 24, -inf, 1
96854, 25, -inf, 1
96854, 26, -inf, 1
96854, 27, -inf, 1
96854, 28, -inf, 1
96854, 29, -inf, 1
96854, 30, -inf, 1
96854, 31, -inf, 1
96854, 32, -inf, 1
96854, 33, -inf, 1
96854, 34, -inf, 1
96854, 35, -inf, 1
96854, 36, -inf, 1
96854, 37, -inf, 1
96854, 38, -inf, 1
96854, 39, -inf, 1
96854, 40, -inf, 1
96854, 41, -inf, 1
96854, 42, -inf, 1
96854, 43, -inf, 1
96854, 44, -inf, 1
96854, 45, -inf, 1
96854, 46, -inf, 1
96854, 47, -inf, 1
96854, 48, -inf, 1
96854, 49, -inf, 1
96854, 50, -inf, 1
96854, 51, -inf, 1
96854, 52, -inf, 1
96854, 53, -inf, 1
96854, 54, -inf, 1
96854, 55, -inf, 1
96854, 56, -inf, 1
96854, 57, -inf, 1
96854, 58, -inf, 1
96854, 59, -inf, 1
96854, 60, -inf, 1
96854, 61, -inf, 1
96854, 62, -inf, 1
96854, 63, -inf, 1
96854, 64, -inf, 1
96854, 65, -inf, 1
96854, 66, -inf, 1
96854, 67, -inf, 1
96854, 68, -inf, 1
96854, 69, -inf, 1
96854, 70, -inf, 1
96854, 71, -inf, 1
96854, 72, -inf, 1
96854, 73, -inf, 1
96854, 74, -inf, 1
