timestep 20000, r: 19, zc: -2.090249129523337, d: 7.591295611478692e-07, threshold: 2.7073549944188478e-06 

timestep 5000, r: 0, zc: -1.5597195271669437, d: 0.0, threshold: 0.0005478148812787956 

timestep 5000, r: 1, zc: -1.5597195271669437, d: 0.0, threshold: 0.0013459402335791167 

timestep 5000, r: 2, zc: -1.5597195271669437, d: 0.0, threshold: 0.0015427052669406414 

timestep 5000, r: 3, zc: -1.5597195271669437, d: 0.0, threshold: 0.001280347959304161 

timestep 5000, r: 4, zc: -1.5597195271669437, d: 0.0, threshold: 0.0010060906236152242 

timestep 5000, r: 5, zc: -1.5597195271669437, d: 0.0, threshold: 0.0008030544440590466 

timestep 5000, r: 6, zc: -1.5597195271669437, d: 0.0, threshold: 0.0006418306395780193 

timestep 5000, r: 7, zc: -1.5597195271669437, d: 0.0, threshold: 0.0006107742608488185 

timestep 5000, r: 8, zc: -1.5597195271669437, d: 0.0, threshold: 0.0007149733494943827 

timestep 5000, r: 9, zc: -1.5597195271669437, d: 0.0, threshold: 0.0005795404310006596 

timestep 5000, r: 10, zc: -1.5597195271669437, d: 7.652531849198475e-06, threshold: 0.00030778412330977 

timestep 5000, r: 11, zc: -1.5597195271669437, d: 6.726184765399682e-06, threshold: 0.00022803279747333612 

timestep 5000, r: 12, zc: -1.5597195271669437, d: 0.0, threshold: 0.00017492576028521156 

timestep 5000, r: 13, zc: -1.5597195271669437, d: 0.0, threshold: 0.00013475342861003306 

timestep 5000, r: 14, zc: -1.5597195271669437, d: 0.0, threshold: 9.499498583359306e-05 

timestep 5000, r: 15, zc: -1.5597195271669437, d: 0.0, threshold: 6.120168113196851e-05 

timestep 5000, r: 16, zc: -1.5597195271669437, d: 0.0, threshold: 3.7750759986319606e-05 

timestep 5000, r: 17, zc: -1.5597195271669437, d: 0.0, threshold: 2.234818523325912e-05 

timestep 5000, r: 18, zc: -1.5597195271669437, d: 0.0, threshold: 1.1911549957739366e-05 

timestep 5000, r: 19, zc: -1.5597195271669437, d: 0.0, threshold: 6.519285922246193e-06 

timestep 10000, r: 0, zc: -1.7419313739728142, d: 0.0, threshold: 0.00029818966052668557 

timestep 10000, r: 1, zc: -1.7419313739728142, d: 0.0, threshold: 0.0006257479698054407 

timestep 10000, r: 2, zc: -1.7419313739728142, d: 0.0, threshold: 0.0009345770152360526 

timestep 10000, r: 3, zc: -1.7419313739728142, d: 0.0, threshold: 0.0009894574055275432 

timestep 10000, r: 4, zc: -1.7419313739728142, d: 0.0, threshold: 0.0008591871660672183 

timestep 10000, r: 5, zc: -1.7419313739728142, d: 0.0, threshold: 0.0007183479275824176 

timestep 10000, r: 6, zc: -1.7419313739728142, d: 0.0, threshold: 0.0006474792799704555 

timestep 10000, r: 7, zc: -1.7419313739728142, d: 0.0, threshold: 0.0006611906424378187 

timestep 10000, r: 8, zc: -1.7419313739728142, d: 0.0, threshold: 0.0006412515863401477 

timestep 10000, r: 9, zc: -1.7419313739728142, d: 0.0, threshold: 0.0005009291386086097 

timestep 10000, r: 10, zc: -1.7419313739728142, d: 0.0, threshold: 0.0003806083213169295 

timestep 10000, r: 11, zc: -1.7419313739728142, d: 0.0, threshold: 0.0002888822472344742 

timestep 10000, r: 12, zc: -1.7419313739728142, d: 0.0, threshold: 0.00022553634574742803 

timestep 10000, r: 13, zc: -1.7419313739728142, d: 0.0, threshold: 0.00016769119140399528 

timestep 10000, r: 14, zc: -1.7419313739728142, d: 0.0, threshold: 0.0001122559058579235 

timestep 10000, r: 15, zc: -1.7419313739728142, d: 0.0, threshold: 6.265949020464075e-05 

timestep 10000, r: 16, zc: -1.7419313739728142, d: 3.3631089861471595e-06, threshold: 3.0391668049656695e-05 

timestep 10000, r: 17, zc: -1.7419313739728142, d: 0.0, threshold: 1.1985974982001814e-05 

timestep 10000, r: 18, zc: -1.7419313739728142, d: 1.506707971271424e-06, threshold: 4.77093859201908e-06 

timestep 10000, r: 19, zc: -1.7419313739728142, d: 0.0, threshold: 2.2397514288239633e-06 

timestep 15000, r: 0, zc: -1.7702863595859026, d: 0.0, threshold: 0.00022650219473149054 

timestep 15000, r: 1, zc: -1.7702863595859026, d: 0.0, threshold: 0.0005569516264400498 

timestep 15000, r: 2, zc: -1.7702863595859026, d: 0.0, threshold: 0.0006382658399470693 

timestep 15000, r: 3, zc: -1.7702863595859026, d: 0.0, threshold: 0.0007416510766991216 

timestep 15000, r: 4, zc: -1.7702863595859026, d: 0.0, threshold: 0.0007321303231271251 

timestep 15000, r: 5, zc: -1.7702863595859026, d: 0.0, threshold: 0.000657621572687346 

timestep 15000, r: 6, zc: -1.7702863595859026, d: 0.0, threshold: 0.0006319909954213053 

timestep 15000, r: 7, zc: -1.7702863595859026, d: 0.0, threshold: 0.0006312052331712904 

timestep 15000, r: 8, zc: -1.7702863595859026, d: 0.0, threshold: 0.000631946094650071 

timestep 15000, r: 9, zc: -1.7702863595859026, d: 0.0, threshold: 0.0006171199646459308 

timestep 15000, r: 10, zc: -1.7702863595859026, d: 0.0, threshold: 0.000544903541095495 

timestep 15000, r: 11, zc: -1.7702863595859026, d: 0.0, threshold: 0.0003828001054126221 

timestep 15000, r: 12, zc: -1.7702863595859026, d: 0.0, threshold: 0.0002461489970970799 

timestep 15000, r: 13, zc: -1.7702863595859026, d: 0.0, threshold: 0.00013631804049690587 

timestep 15000, r: 14, zc: -1.7702863595859026, d: 0.0, threshold: 6.994064676512237e-05 

timestep 15000, r: 15, zc: -1.7702863595859026, d: 0.0, threshold: 3.6903710987434226e-05 

timestep 15000, r: 16, zc: -1.7702863595859026, d: 0.0, threshold: 2.0730186372885213e-05 

timestep 15000, r: 17, zc: -1.7702863595859026, d: 0.0, threshold: 1.2031375972459397e-05 

